ID,Rarity,InEN,NF,EF,TF,UF,LevelCapFormat,OrbCount,Talents,UltraTalents
738,LR,Y,Izanami of Dusk,Izanami of Eventide,,,LR,0,,
739,LR,Y,Summon (Izanami),,,,Summon,0,,
740,EX,Y,Trash Cat,Mimic Cat,,,,0,,
741,UR,Y,Voluptuous Peony - Daji,Daji & Cat,,,UR,0,,
742,RR,Y,Mollyanna Cat,Mesmerizing Tune - Mollyanna,,,GachaRare,0,,
743,RR,Y,Madhead,Madhead Cat,,,,0,,
744,EX,Y,Felix the Cat Duke Cat,Mercenary Leader Felix Cat,,,,0,,
745,EX,Y,Dotty Cat,Birthday Dotty Cat,,,,0,,
746,UR,Y,Kenshin Himura,Kenshin Himura CC,,,UR,0,,
747,UR,Y,Sanosuke Sagara,Sanosuke Sagara CC,,,UR,0,,
748,UR,Y,Aoshi Shinomori,Aoshi Shinomori CC,,,UR,0,,
749,UR,Y,Hajime Saito,Hajime Saito CC,,,UR,0,,
750,SR,Y,Li'l Kaoru,Li'l Kaoru CC,,,GachaSR,0,,
751,SR,Y,Li'l Yahiko,Li'l Yahiko CC,,,GachaSR,0,,
752,RR,Y,Kenshin Cat,Battosai Cat,,,,0,,
753,EX,Y,Kaoru Cat,Swordscat Kaoru,,,,0,,
754,UR,Y,Akechi Mitsuhide,Wargod Mitsuhide,,,UR,0,,
755,UR,Y,Summon (Mitsuhide),,,,Summon,0,,
756,UR,Y,Cake Machine,Wedding Cake Machine,,,UR,0,,
757,EX,Y,Ancient Egg: N205,Violet Egg: N205,Bride Cat,,Plus10,0,,
758,UR,Y,Trixi the Merc,Trixi the Revenant,,,UR,0,,
759,UR,Y,Music Fest Thundia,Music Fest Thundia β,,,UR,0,,
760,UR,Y,Gunduros,Ballistic Dragon Gunduros,,,UR,0,,
761,UR,Y,Summon (Gunduros),,,,Summon,0,,
762,UR,Y,Heavenly God Super Zeus,Giga Almighty God Super Zeus,,,UR,0,,
763,UR,Y,Dynasaurus Cat,Mecha Dynasaurus Cat,,,UR,0,,
764,UR,Y,Summon (Dynasaurus),,,,Summon,0,,
765,EX,Y,Ancient Egg: N206,Cinnabar Egg: N206,Clam Cat,,Plus20,0,,
766,EX,Y,Sardine,Sardine CC,,,Plus20,0,,
767,EX,Y,Squid,Squid CC,,,Plus20,0,,
768,UR,Y,Taitenki,Taitenki CC,,,UR,0,,
769,UR,Y,Hanasaka Cat,Ravenous Cherry,,,UR,0,,
770,UR,Y,Summon (Hanasaka),,,,Summon,0,,
771,EX,Y,Master of Life Dr. Nova,Master of Life Catnova,,,,0,,
772,UR,Y,Pumpkin Sodom,Sodom-o'-Lantern,,,UR,0,,
773,SR,Y,Mummy Sumo,Mama Mummy Sumo,,,GachaSR,0,,
774,UR,Y,Mech Patrol Axel,Steel Sergeant Axel,,,UR,0,,
775,UR,Y,Summon (Axel),,,,Summon,0,,
776,EX,Y,Warrior Cat,Commander Cat,,,Plus5,0,,
777,UR,Y,Winter General Kaihime,Winter Commander Kaihime,,,UR,0,,
778,UR,Y,Madoka Cat & Homura,Magical Cat☆ Magica,,,UR,0,,
779,UR,Y,Celestial Child Luna,Salvation's Daughter Lunacia,,,UR,0,,
780,RR,Y,Bowler Cat,Dodgeballer Cat,,,,0,,
781,UR,Y,Mamoluga,Mamolan Pasalan,,,UR,0,,
782,UR,Y,Summon (Mamoluga),,,,Summon,0,,
783,UR,Y,Koneko,Superstar Koneko,,,UR,0,,
784,EX,N,Choco Capsule,ChocoSurp Cat F,,,,0,,
785,RR,Y,Killer Gross Cat,True Killer Gross Cat,,,,0,,
786,UR,Y,The Amazing Catman,Illusionist Catman,,,UR,0,,
787,UR,Y,Netherworld Nymph Lunacia,Death's Daughter Lunacia,,,UR,0,,
788,EX,N,Stealth Cat,Surprise Stealth Cat,,,,0,,
789,UR,Y,Baki Hanma,Baki Hanma CC,,,UR,0,,
790,UR,Y,Retsu Kaioh,Retsu Kaioh CC,,,UR,0,,
791,UR,Y,Kaoru Hanayama,Kaoru Hanayama CC,,,UR,0,,
792,UR,Y,Katsumi Orochi,Katsumi Orochi CC,,,UR,0,,
793,UR,Y,Jack Hammer,Jack Hammer CC,,,UR,0,,
794,SR,Y,Ogre Cat,Ogre Cat Face,,,GachaSR,0,,
795,EX,Y,Li'l Baki,Li'l Baki CC,,,,0,,
796,EX,Y,Baki Cat,Baki Cat CC,,,Plus20,0,,
797,EX,Y,Kaioh Cat,Kaioh Cat CC,,,Plus20,0,,
798,EX,Y,Doppo Cat,Doppo Cat CC,,,Plus20,0,,
799,UR,Y,Mighty Morta-Loncha,Grandiose Gunhauzer,,,UR,0,,
