ID,Rarity,InEN,NF,EF,TF,UF,LevelCapFormat,OrbCount,Talents,UltraTalents
226,UR,Y,Warlock and Pierre,Dark Merchant Babil,Mad Doctor Klay,,UR,1,Warp_Immune1-Wave_Immune1-Curse_Immune1-Defense10-Attack10,Target_Traitless1-Surge_Immune1-Colossus_Slayer1
227,RR,Y,Pumpcat,Cat O'Lantern,Harbinger Cat,,,0,,
228,SR,Y,Gloomy Neneko,Witchy Neneko,Costumed Witchy Neneko,,GachaSR,0,,
229,UR,Y,Hallowindy,"Hallowindy, type α",,,UR,0,,
230,UR,Y,Spooky Thundia,"Spooky Thundia, type β",,,UR,0,,
231,EX,N,Oden,Oden CC,,,,0,,
232,RR,N,Junior God of Light - Valkyrie,Junior God of Light - Valkyrie CC,,,GachaRare,0,,
233,RR,N,Junior God Brynhildr,Junior God Brynhildr CC,,,GachaRare,0,,
234,RR,N,Junior God Suruzu,Junior God Suruzu CC,,,GachaRare,0,,
235,SR,N,Goddess of Abundance - Freya,Goddess of Abundance - Freya CC,,,GachaSR,0,,
236,UR,N,God of War - Odin,God of War - Odin CC,,,UR,0,,
237,SR,Y,Freshman Cat Jobs,Prof. Cat Jobs,Headmaster Cat Jobs,,GachaSR,0,,
238,SR,Y,Rich Cat III,Rich Cat Sr.,Richest Cat,,GachaSR,0,,
239,SR,Y,Sniper the Recruit,Sniper the Heavy,Sniper the Deadeye,,GachaSR,0,,
240,UR,Y,Togeluga,Togelan Pasalan,Shishilan Pasalan,,UR,1,Mini_Wave10-Slow_Immune1-Weaken_Resist10-Defense10-Attack10,
241,UR,Y,Frosty Kai,"Frosty Kai, type μ","Frostspirit Kai, type μ",,UR,0,,
242,UR,Y,Santa Kuu,"Santa Kuu, type γ",,,UR,0,,
243,UR,Y,Holy Coppermine,"Holy Coppermine, type κ",,,UR,0,,
244,RR,Y,A Gift of Cats,Cat's Gift,,,,0,,
245,EX,Y,Li'l Gross Cat,Li'l Sexy Legs Cat,Li'l Macho Legs Cat,,Lil,1,Shield_Pierce10-Knockback10-Curse_Resist10-Defense10-Attack10,
246,EX,Y,Li'l Cow Cat,Li'l Giraffe Cat,Li'l Lion Cat,,Lil,1,Shield_Pierce10-Cost_Down10-Surge_Immune1-Defense10-Attack10,
247,EX,Y,Li'l Bird Cat,Li'l UFO Cat,Li'l Flying Cat,,Lil,1,Target_Relic1-Curse_Immune1-Curse10-Defense10-Attack10,
248,EX,Y,Undead Cat,Bake-Nyanko,Extra-Life Cat,,Plus10,0,,
249,RR,N,Swordsman,Sailor Swordsman,Swordsman of the Ming Emperor,,,0,,
250,RR,N,Horsemen Cavalry,Forest Horsemen Cavalry,Thunderclap Horsemen Cavalry,,,0,,
251,RR,N,Ashura,Warrior Ashura,Kabukimono Ashura,,,0,,
252,RR,N,Battle Balloon,Pirate Battle Balloon,Battle Balloon UFO,,,0,,
253,RR,N,Dragon Rider,Horn Dragon Rider,Flame Dragon Rider,,,0,,
254,RR,N,Pretty Cat,Lovely Pretty Cat,Cyber Pretty Cat,,,0,,
255,RR,N,Cyclops,Cyclops of Steel,Cyclops of Time-space,,,0,,
256,EX,N,Golem,Rabbit Golem,Volcano Golem,,,0,,
257,UR,Y,Thunder God Zeus,The Majestic Zeus,Almighty Zeus,,UR,2,Wave_Resist10-Weaken_Resist10-Target_Zombie1-Defense10-Attack10,Behemoth_Slayer1-Slow10
258,UR,Y,Anubis the Protector,Anubis the Unblemished,Almighty Anubis,,UR,2,Surge10-Surge_Immune1-Barrier_Breaker10-Defense10-Attack10,Attack_Rate10-Cost_Down10-Shield_Pierce10
259,UR,Y,Radiant Aphrodite,Megaphrodite,Almighty Aphrodite,,UR,2,Slow10-Curse_Resist10-Wave_Resist10-Freeze_Resist10-Weaken_Resist10,Attack_Rate10-Attack10
260,SR,Y,Catway,Drone Cat,Time Traveller Cat,,,0,,
261,UR,Y,Hayabusa,Oni Hayabusa,Akuma Hayabusa,,UR,2,Target_Aku1-Shield_Pierce10-Curse_Resist10-Defense10-Attack10,Strong1-Attack_Rate10-Surge_Immune1
262,EX,N,Nyamusu,Neko Nyamusu,,,Plus10,0,,
263,EX,N,Pochi,Tank Pochi,,,Plus10,0,,
264,EX,N,Kuromi,Kuromi and Cats,,,Plus10,0,,
265,EX,N,Setsuko,Setsuko Love Mackerel,,,Plus10,0,,
266,EX,N,Nebaaru-kun,Nebaaru-kun and Cat,,,Plus10,0,,
267,SR,Y,Catornado,Hurricat,Catyphoon,,,0,,
268,EX,Y,Red Riding Mina,Crimson Mina,Awakened Mina,,,0,,
269,UR,Y,Baby Gao,Mighty Lord Gao,,,UR,0,,
270,UR,Y,Crazed Yuki,Crazed Yuki & Cat,Crazed Catgirl Yuki,,UR,1,Move_Speed10-Wave_Resist10-Survive10-Defense10-Attack10,
271,UR,Y,Shining Amaterasu,Glorious Amaterasu,Almighty Amaterasu,,UR,2,Zombie_Killer1-Barrier_Breaker10-Survive10-Defense10-Attack10,Dodge10-Strengthen10
272,UR,Y,Splendid Ganesha,Exalted Ganesha,Almighty Ganesha,,UR,2,Strengthen10-Weaken_Resist10-Knockback_Immune1-Defense10-Attack10,Attack_Rate10-Wave_Immune1-Freeze_Immune1
273,SR,Y,Cheerleader Cat,Waitress Cat,Soba Cat,,,0,,
274,UR,Y,Tropical Kalisa,"Tropical Kalisa, type X",,,UR,0,,
275,UR,Y,Midsummer Rabbit,Midsummer Cat,Brightsummer Cat,,UR,0,,
276,SR,Y,Sunny Neneko,Seaside Neneko,Early Summer Neneko,,GachaSR,0,,
277,RR,Y,Funghi,Funghi 'n' Cat,,,,0,,
278,EX,Y,Tanky,Tanky 'n' Cat,,,,0,,
279,EX,Y,White Cat,Gross White Cat,,,,0,,
280,EX,Y,Fortressy,Castley,,,,0,,
281,RR,N,Futenyan,Massaging Futenyan,,,,0,,
282,RR,Y,Awa-Odori Cat,So-Ran Cat,Gorgeous Groovin' Cat,,,0,,
283,UR,Y,Pai-Pai,Pai-Pai Z,Pai-Pai DX,,UR,1,Survive10-Slow10-Slow_Immune1-Defense10-Attack10,
284,SR,Y,Express Cat,Maglev Cat,Bullet Train Cat,,,0,,
285,EX,N,Crazed Baozi Cat,Crazed Big Baozi Cat,,,,0,,
286,UR,Y,Strike Unit R.E.I.,Assault Unit R.E.I.,Flight Unit R.E.I.,,UR,1,Freeze10-Survive10-Toxic_Immune1-Defense10-Attack10,
287,SR,Y,Little Leaguer Cat,Major Leaguer Cat,Golfer Cat,,,0,,
288,UR,Y,Madoka Kaname,Madoka & Cat,Ultimate Madoka,,UR,0,,
289,UR,Y,Homura Akemi,Homura & Cat,Devil Homura,,UR,0,,
290,UR,Y,Sayaka Miki,Sayaka & Cat,,,UR,0,,
291,UR,Y,Mami Tomoe,Mami & Cat,,,UR,0,,
292,UR,Y,Kyoko Sakura,Kyoko & Cat,,,UR,0,,
293,SR,Y,Kyubey,Kyubey & Cat,,,GachaSR,0,,
294,RR,Y,Madoka Cat,Magical Girl Madoka Cat,,,GachaRare,0,,
295,RR,Y,Homura Cat,Magical Girl Homura Cat,,,GachaRare,0,,
296,RR,Y,Sayaka Cat,Magical Girl Sayaka Cat,,,GachaRare,0,,
297,RR,Y,Mami Cat,Magical Girl Mami Cat,,,GachaRare,0,,
298,RR,Y,Kyoko Cat,Magical Girl Kyoko Cat,,,GachaRare,0,,
299,RR,Y,Li'l Madoka,Li'l Magical Girl Madoka,Li'l Ultimate Madoka,,,0,,
