ID,Rarity,InEN,NF,EF,TF,UF,LevelCapFormat,OrbCount,Talents,UltraTalents
538,RR,Y,Miku Cat,Miku Cat CC,,,,0,,
539,RR,Y,Rugby Cat,Quarterback Cat,Gridiron Cat,,,0,,
540,RR,N,U.F.O. Cat,Yakisoba U.F.O. Cat,,,,0,,
541,EX,N,Yakisoba Cat,Splendid!Thick!Big!Cat,,,,0,,
542,EX,N,Cat Boy,Cat Student,,,,0,,
543,UR,Y,Kasli the Bane,"Kasli, Daughter of Chaos",,,UR,0,,
544,LR,Y,Kyosaka Nanaho,True Kyosaka Nanaho,,,LR,0,,
545,RR,Y,Phantom Cat,Miasma Cat,Bubble Cat,,,0,,
546,UR,Y,Papaluga,Papalan Pasalan,Sukelan Kakulan,,UR,1,Mini_Wave10-Survive10-Wave_Resist10-Defense10-Attack10,
547,UR,Y,Night Oracle Rei,Heavenly Herald Rei,,,UR,0,,
548,UR,Y,The 4th Angel,4th Angel Cat,,,UR,0,,
549,UR,Y,The 6th Angel,6th Angel Cat,,,UR,0,,
550,UR,Y,The 10th Angel,10th Angel Cat,,,UR,0,,
551,UR,Y,The 9th Angel,9th Angel Cat,,,UR,0,,
552,RR,Y,Kaworu Cat,Moon Kaworu Cat,,,GachaRare,0,,
553,RR,Y,Bakery Cat,Boomerang Cat,Fried Chicken Cat,,,0,,
554,EX,Y,Master Uril,Mystic Uril,Esoteric Uril,,,0,,
555,UR,Y,Shaman Khan,All-Loving Shaman Khan,,,UR,0,,
556,SR,Y,Holy Knight Alibaba,Holy King Alibaba,Ghost Alibaba,,GachaSR,0,,
557,EX,Y,Heavenly Jack,Heavenly Lord Jack,,,Plus20,0,,
558,EX,Y,Gacha Cat,Lucky Gacha Cat,,,,0,,
559,UR,Y,Hell Warden Emma,Hell Sentinel Emma,Hell Commissioner Emma,,UR,1,Wave10-Weaken10-Curse_Immune1-Defense10-Attack10,
560,UR,Y,Megurine Luka,Megurine Luka CC,,,UR,0,,
561,SR,Y,MEIKO & Cat,MEIKO & Cat CC,,,GachaSR,0,,
562,RR,Y,Luka Cat,Luka Cat CC,,,GachaRare,0,,
563,UR,Y,Squirtgun Saki,Aquabuster Saki,Aquablaster Saki,,UR,0,,
564,UR,Y,Summerluga,Bikinilan Pasalan,Fabulous Pasalan,,UR,0,,
565,SR,Y,Suntan Cat,Macho Suntan Cat,Permed Suntan Cat,,GachaSR,0,,
566,SR,Y,Lifeguard Cats,Sweet Bro Cats,Gelato Bro Cats,,GachaSR,0,,
567,EX,N,Li'l Clops Cat Egg,Li'l Clops Cat,Lightning Li'l Clops Cat,,,0,,
568,EX,Y,Idi:N,Idi:N2,Idi:NX,,,0,,
569,UR,Y,Gravi,Gravolo,Gravolodon,,UR,1,Target_Relic1-Curse_Immune1-Knockback_Immune1-Defense10-Attack10,
570,UR,Y,Skull Rider Vars,Nightmare King Vars,Halloween Knight Vars,,UR,0,,
571,UR,Y,E. Honda,E. Honda CC,,,UR,0,,
572,UR,Y,Balrog,Balrog CC,,,UR,0,,
573,UR,Y,Vega,Vega CC,,,UR,0,,
574,UR,Y,Sagat,Sagat CC,,,UR,0,,
575,UR,Y,M. Bison,M. Bison CC,,,UR,0,,
576,SR,Y,C. Honda,C. Honda CC,,,GachaSR,0,,
577,RR,Y,Balrog Cat,Balrog Cat CC,,,GachaRare,0,,
578,RR,Y,Vega Cat,Vega Cat CC,,,GachaRare,0,,
579,RR,Y,Sagat Cat,Sagat Cat CC,,,GachaRare,0,,
580,RR,Y,M. Bison Cat,M. Bison Cat CC,,,GachaRare,0,,
581,RR,Y,Stone Cat,Boulder Cat,,,,0,,
582,UR,Y,Hatsune Miku: MM2020 Osaka,Hatsune Miku CC: MM2020 Osaka,,,UR,0,,
583,UR,Y,Hatsune Miku: MM2020 Tokyo,Hatsune Miku CC: MM2020 Tokyo,,,UR,0,,
584,UR,Y,Keiji Claus,Maeda Christmas,Maeda Christmas DX,,UR,1,Strengthen10-Surge_Immune1-Freeze_Resist10-Defense10-Attack10,
585,UR,Y,Baby Garu,Mighty Aegis Garu,,,UR,0,,
586,LR,Y,Emperor Cat,Tyrant Cat,,,LR,0,,
587,UR,Y,Sweet Aphrodite,Chocoladite,,,UR,0,,
588,UR,Y,First-Love Myrcia,First-Love Myrcia ξ,,,UR,0,,
589,SR,Y,Valentine's Neneko,Sweetheart Neneko,True Love Neneko,,GachaSR,0,,
590,UR,Y,Snow Miku 2021,Snow Miku CC 2021,,,UR,0,,
591,SR,Y,KAITO & Cat,KAITO & Cat CC,,,GachaSR,0,,
592,RR,Y,Neko Rin,Neko Rin CC,,,GachaRare,0,,
593,RR,Y,Neko Len,Neko Len CC,,,GachaRare,0,,
594,UR,Y,Mighty Aethur Ltd.,Atlantis Logistix,Ultra Atlantis Logistix,,UR,1,Slow10-Weaken_Immune1-Freeze_Resist10-Soulstrike1-Defense10-Attack10,
595,UR,Y,Blooming Kamukura,Everbloom Kamukura,Everbloom Lord Kamukura,,UR,0,,
596,UR,Y,Ranma Saotome (M),Ranma Saotome (F),,,UR,0,,
597,UR,Y,Akane Tendo,Akane Tendo (Gi),,,UR,0,,
598,UR,Y,Ryoga Hibiki (Pig),Ryoga Hibiki,,,UR,0,,
599,UR,Y,Shampoo (Cat),Shampoo,,,UR,0,,
