ID,Rarity,InEN,NF,EF,TF,UF,LevelCapFormat,OrbCount,Talents,UltraTalents
44,UR,Y,Lesser Demon Cat,Greater Demon Cat,Greater Balrog Cat,,UR,1,Strengthen10-Wave_Resist10-Defense10-Attack10-Cost_Down10,
45,EX,N,Maiko Cat,Geisha Cat,,,,0,,
46,RR,Y,Jurassic Cat,Jurassic Cat Sitter,Catasaurus,,GachaRare,1,Critical5-Knockback_Resist10-Defense10-Attack10-Cost_Down10,
47,RR,Y,Viking Cat,Thor Cat,Maximum the Fighter,,GachaRare,1,Slow_Immune1-Curse_Resist10-Weaken_Immune1-Toxic_Resist10-Defense10,
48,RR,Y,Pirate Cat,Captain Cat,Dread Pirate Catley,,GachaRare,1,Survive10-Slow_Resist10-Wave_Immune1-Defense10-Attack10,
49,RR,Y,Thief Cat,Phantom Thief Cat,Goemon Cat,,GachaRare,1,Strengthen10-Zombie_Killer1-Defense10-Attack10-Move_Speed10,
50,RR,Y,Bishop Cat,Monk Cat,Sanzo Cat,,GachaRare,1,Weaken10-Slow10-Survive10-Target_Angel1-Defense10,
51,RR,Y,Fortune Teller Cat,Fisherman Cat,Doctor Cat,,GachaRare,1,Knockback_Resist10-Curse_Resist10-Target_Relic1-Defense10-Attack10,
52,RR,Y,Shaman Cat,Necromancer Cat,Necro-Dancer Cat,,GachaRare,1,Wave10-Toxic_Immune1-Freeze_Resist10-Defense10-Attack10,
53,UR,N,Evangelist Cat,Filibuster Cat,,,UR,0,,
54,EX,N,Type 10,Cat Transportation Type 10,,,,0,,
55,RR,Y,Witch Cat,Sorceress Cat,Enchantress Cat,,GachaRare,1,Slow10-Survive10-Target_Zombie1-Defense10-Attack10,
56,RR,Y,Archer Cat,Cupid Cat,Cataur,,GachaRare,1,Zombie_Killer1-Target_Zombie1-Defense10-Attack10-Recover_Speed10,
57,UR,Y,Marauder Cat,Berserker Cat,Paladin Cat,,UR,2,Freeze10-Zombie_Killer1-Slow_Immune1-Defense10-Attack10,Critical10-Dodge10-Money_Up1
58,RR,Y,Swordsman Cat,Sword Master Cat,Elemental Duelist Cat,,GachaRare,1,Weaken_Resist10-Target_Angel1-Defense10-Attack10-Recover_Speed10,
59,UR,Y,Baby Cat,Baby Cats,Cats in the Cradle,Cats in the Stroller,UR,1,Slow10-Slow_Resist10-Curse_Immune1-Defense10-Attack10,
60,RR,Y,Bronze Cat,Michelangelo Cat,Quizmaster Cat,,,0,,
61,SR,Y,Sushi Cat,Fried Shrimp Cat,Roe Cat,,GachaSR,1,Freeze_Resist10-Slow_Resist10-Defense10-Attack10-Cost_Down10,
62,EX,N,Toy Machine Cat,Vendor Cat,,,,0,,
63,RR,Y,Sports Day Cat,Kidnapper Cats,Rampage Cats,,,0,,
64,RR,Y,Swordsman,Swordsman Johnny,,,GachaRare,0,,
65,RR,Y,Cow Princess,Giraffe Princess,,,GachaRare,0,,
66,UR,Y,PPT48,Dark PPT48,PPT46,,UR,1,Target_Angel1-Curse_Immune1-Recover_Speed10-Defense10-Attack10,
67,RR,Y,Li'l Gau,Li'l Gau Gau,Crystal Li'l Gau Gau,,GachaRare,0,,
68,SR,Y,Reaper,Reaper 999,Judgment,,GachaSR,0,,
69,SR,Y,Sleeping Beauty Punt,Sleeping Beauty Punt II,Oversleeping Beauty Punt,,,0,,
70,RR,Y,Salaryman Cat,Grudge Cat,Ritual Cat,,,0,,
71,UR,Y,Sanada Yukimura,Wargod Yukimura,Immortal Yukimura,,UR,1,Strengthen10-Freeze_Resist10-Slow_Resist10-Defense10-Attack10,
72,UR,Y,Maeda Keiji,Wargod Keiji,Immortal Keiji,,UR,2,Strengthen10-Weaken_Resist10-Cost_Down10-Defense10-Attack10,Target_Floating1-Wave10-Freeze_Immune1
73,UR,Y,Oda Nobunaga,Wargod Nobunaga,Immortal Nobunaga,Phantasmal Nobunaga,UR,1,Survive10-Wave_Resist10-Curse_Immune1-Defense10-Move_Speed10,
74,RR,Y,Reindeer Fish Cat,Sashimi Cat,Xmas Pudding Cat,,,0,,
75,UR,Y,Windy,"Windy, type α",Divine Windy α,Ultimate Windy α,UR,1,Freeze10-Strengthen10-Curse_Immune1-Defense10-Attack10,
76,UR,Y,Thundia,"Thundia, type β",Divine Thundia β,Ultimate Thundia β,UR,1,Strengthen10-Wave_Resist10-Curse_Immune1-Defense10-Attack10,
77,RR,N,Droid Cat,Droid Cat Mk 2,SpringDroid,,,0,,
78,RR,Y,Space Cat,Major Space Cat,Space Marine Cat,,,0,,
79,RR,Y,Adult Cat,Sick Cat,Prisoner Cat,,,0,,
80,RR,Y,Evil Cat,Gentleman Cat,Gentleman Bros.,,,0,,
81,RR,Y,Doll Cats,Cat-o-tron,Nyalladin,,,0,,
82,EX,Y,Blue Shinobi,Orange Shinobi,,,Plus10,0,,
83,UR,Y,Sodom,Earth King Sodom,God-Emperor Sodom,,UR,2,Weaken10-Target_Relic1-Curse_Immune1-Defense10-Attack10,Behemoth_Slayer1-Sage_Slayer1-Weaken_Immune1
84,UR,Y,Megidora,Holy Dragon Megidora,God-Emperor Megidora,,UR,2,Knockback10-Wave10-Curse_Immune1-Defense10-Attack10,Cost_Down10-Target_Metal1-Target_Relic1
85,UR,Y,Vars,Dragon King Vars,God-Emperor Vars,,UR,2,Knockback10-Curse_Immune1-Target_Relic1-Defense10-Attack10,Slow10-Attack_Rate10-Wave_Immune1
86,UR,Y,Kamukura,God Dragon Kamukura,God-Emperor Kamukura,,UR,2,Resistant1-Curse_Immune1-Slow_Resist10-Defense10-Attack10,Sage_Slayer1-Slow10-Cost_Down10
87,UR,Y,Raiden,Dragonslayer Raiden,God-Emperor Raiden,,UR,2,Dodge10-Knockback_Immune1-Freeze_Resist10-Defense10-Attack10,Slow_Immune1-Surge_Immune1-Behemoth_Slayer1
88,RR,Y,Rope Jump Cat,Pair Rope Jump Cat,Noodle Cats,,,0,,
89,UR,N,Nimue,Neutralization Type Nimue,,,UR,0,,
90,UR,N,Monkey King,SSS Monkey King,,,UR,0,,
91,SR,Y,Crazed Cat,Crazed Macho Cat,Manic Mohawk Cat,,,0,,
92,SR,Y,Crazed Tank Cat,Crazed Wall Cat,Manic Eraser Cat,,,0,,
93,SR,Y,Crazed Axe Cat,Crazed Brave Cat,Manic Dark Cat,,,0,,
94,SR,Y,Crazed Gross Cat,Crazed Sexy Legs Cat,Manic Macho Legs,,,0,,
95,SR,Y,Crazed Cow Cat,Crazed Giraffe Cat,Manic Lion Cat,,,0,,
96,SR,Y,Crazed Bird Cat,Crazed UFO Cat,Manic Flying Cat,,,0,,
97,SR,Y,Crazed Fish Cat,Crazed Whale Cat,Manic Island Cat,,,0,,
98,SR,Y,Crazed Lizard Cat,Crazed Dragon Cat,Manic King Dragon,,,0,,
99,SR,Y,Crazed Titan Cat,Crazed M. Titan Cat,Manic Jamiera Cat,,,0,,
