ID,LevelFormat,TrueXPCost,TrueMaterial1,TrueMaterialCount1,TrueMaterial2,TrueMaterialCount2,TrueMaterial3,TrueMaterialCount3,TrueMaterial4,TrueMaterialCount4,TrueMaterial5,TrueMaterialCount5,TalentNP,UltraXPCost,UltraMaterial1,UltraMaterialCount1,UltraMaterial2,UltraMaterialCount2,UltraMaterial3,UltraMaterialCount3,UltraMaterial4,UltraMaterialCount4,UltraMaterial5,UltraMaterialCount5,UltraTalentNP
534,,1000000,purple_fruit,5,epic_seed,1,,,,,,,100-285-285-175-175,,,,,,,,,,,,
535,,,,,,,,,,,,,,,,,,,,,,,,,
536,,,,,,,,,,,,,,,,,,,,,,,,,
537,,,,,,,,,,,,,,,,,,,,,,,,,
538,Advent,,,,,,,,,,,,,,,,,,,,,,,,
539,Advent,,,,,,,,,,,,,,,,,,,,,,,,
540,Advent,,,,,,,,,,,,,,,,,,,,,,,,
541,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
542,BadCollab,,,,,,,,,,,,,,,,,,,,,,,,
543,,,,,,,,,,,,,,,,,,,,,,,,,
544,,,,,,,,,,,,,,,,,,,,,,,,,
545,Advent,,,,,,,,,,,,,,,,,,,,,,,,
546,,1000000,gold_seed,1,elder_fruit,1,green_fruit,5,yellow_fruit,5,,,235-235-175-175-175,,,,,,,,,,,,
547,,,,,,,,,,,,,,,,,,,,,,,,,
548,,,,,,,,,,,,,,,,,,,,,,,,,
549,,,,,,,,,,,,,,,,,,,,,,,,,
550,,,,,,,,,,,,,,,,,,,,,,,,,
551,,,,,,,,,,,,,,,,,,,,,,,,,
552,,,,,,,,,,,,,,,,,,,,,,,,,
553,Advent,,,,,,,,,,,,,,,,,,,,,,,,
554,UR,,,,,,,,,,,,,,,,,,,,,,,,
555,,,,,,,,,,,,,,,,,,,,,,,,,
556,,500000,yellow_fruit,3,,,,,,,,,,,,,,,,,,,,,
557,WhoCares,,,,,,,,,,,,,,,,,,,,,,,,
558,Moneko,,,,,,,,,,,,,,,,,,,,,,,,
559,,1000000,blue_fruit,15,epic_fruit,1,,,,,,,235-175-100-175-175,,,,,,,,,,,,
560,,,,,,,,,,,,,,,,,,,,,,,,,
561,,,,,,,,,,,,,,,,,,,,,,,,,
562,,,,,,,,,,,,,,,,,,,,,,,,,
563,,1000000,epic_seed,1,green_fruit,3,purple_fruit,3,red_fruit,3,aku_fruit,1,,,,,,,,,,,,,
564,,1000000,aku_seed,3,epic_fruit,3,red_stone,3,,,,,,,,,,,,,,,,,
565,,500000,purple_fruit,3,blue_fruit,3,yellow_fruit,3,epic_fruit,5,,,,,,,,,,,,,,,
566,,500000,green_fruit,3,red_fruit,3,blue_fruit,3,green_stone,3,,,,,,,,,,,,,,,
567,BadCollab,200000,green_fruit,3,purple_fruit,3,red_fruit,3,blue_fruit,3,yellow_fruit,3,,,,,,,,,,,,,
568,UR,1000000,yellow_gem,3,epic_stone,5,,,,,,,,,,,,,,,,,,,
569,,1000000,green_fruit,3,red_fruit,4,blue_fruit,7,yellow_fruit,4,epic_fruit,3,100-100-100-175-175,,,,,,,,,,,,
570,,1000000,purple_fruit,3,blue_fruit,3,epic_fruit,3,,,,,,,,,,,,,,,,,
571,,,,,,,,,,,,,,,,,,,,,,,,,
572,,,,,,,,,,,,,,,,,,,,,,,,,
573,,,,,,,,,,,,,,,,,,,,,,,,,
574,,,,,,,,,,,,,,,,,,,,,,,,,
575,,,,,,,,,,,,,,,,,,,,,,,,,
576,,,,,,,,,,,,,,,,,,,,,,,,,
577,,,,,,,,,,,,,,,,,,,,,,,,,
578,,,,,,,,,,,,,,,,,,,,,,,,,
579,,,,,,,,,,,,,,,,,,,,,,,,,
580,,,,,,,,,,,,,,,,,,,,,,,,,
581,Advent,,,,,,,,,,,,,,,,,,,,,,,,
582,,,,,,,,,,,,,,,,,,,,,,,,,
583,,,,,,,,,,,,,,,,,,,,,,,,,
584,,1000000,purple_fruit,1,red_fruit,5,aku_fruit,1,,,,,175-100-175-175-175,,,,,,,,,,,,
585,,,,,,,,,,,,,,,,,,,,,,,,,
586,,,,,,,,,,,,,,,,,,,,,,,,,
587,,,,,,,,,,,,,,,,,,,,,,,,,
588,,,,,,,,,,,,,,,,,,,,,,,,,
589,,500000,gold_seed,1,gold_fruit,1,aku_fruit,2,,,,,,,,,,,,,,,,,
590,,,,,,,,,,,,,,,,,,,,,,,,,
591,,,,,,,,,,,,,,,,,,,,,,,,,
592,,,,,,,,,,,,,,,,,,,,,,,,,
593,,,,,,,,,,,,,,,,,,,,,,,,,
594,,1000000,green_fruit,3,purple_fruit,6,red_fruit,6,blue_fruit,3,epic_fruit,3,235-100-175-100-175-175,,,,,,,,,,,,
595,,1000000,epic_seed,1,green_fruit,3,purple_fruit,3,red_fruit,3,aku_fruit,1,,,,,,,,,,,,,
596,,,,,,,,,,,,,,,,,,,,,,,,,
597,,,,,,,,,,,,,,,,,,,,,,,,,
598,,,,,,,,,,,,,,,,,,,,,,,,,
599,,,,,,,,,,,,,,,,,,,,,,,,,
