ID,Rarity,InEN,NF,EF,TF,UF,LevelCapFormat,OrbCount,Talents,UltraTalents
133,EX,N,Hikakin,Bikyakin,Mukyakin,,,0,,
134,UR,Y,Urashima Taro,Guardian Gamereon,King Gamereon,,UR,2,Slow10-Freeze_Resist10-Knockback_Resist10-Defense10-Attack10,Cost_Down10-Curse10-Slow_Immune1
135,UR,Y,The Grateful Crane,Super Galaxy Cosmo,Ultima Galaxy Cosmo,Supernova Cosmo,UR,1,Colossus_Slayer1-Curse10-Curse_Immune1-Defense10-Attack10,
136,UR,Y,Momotaro,The Peach Angels,The Peach Devils,,UR,2,Weaken10-Freeze10-Slow_Resist10-Defense10-Attack10,Mini_Wave10-Wave_Immune1-Knockback10
137,UR,Y,Kasa Jizo,Jizo's Moving Castle,Jizo's Mega-Castle,Ultra Kasa Jizo,UR,1,Curse_Immune1-Toxic_Immune1-Surge_Resist10-Defense10-Attack10,
138,UR,Y,Princess Kaguya,The Death Moon,The Chaos Moon,Ultra Kaguya,UR,1,Knockback10-Slow10-Slow_Resist10-Defense10-Attack10,
139,EX,N,Nekondo,Nekondo HG,Nekondo SP,,,0,,
140,EX,Y,Squish Ball Cat,Muscleman Cat,,,,0,,
141,EX,N,God,Secret God,,,,0,,
142,EX,N,Tutorial Cat,Behind Tutorial,,,,0,,
143,UR,Y,Nurse Cat,Heartful Nurse Cat,Joyful Nurse Cat,,UR,2,Slow10-Knockback10-Curse_Immune1-Defense10-Attack10,Sage_Slayer1-Mini_Surge10-Cost_Down10
144,SR,Y,Cat Base Mini,Cat Base Jr.,Cat Base Ultra,,GachaSR,0,,
145,RR,Y,Cat Gunslinger,Cat Eastwood,Rodeo Cat,,GachaRare,1,Curse_Resist10-Target_Relic1-Defense10-Attack10-Recover_Speed10,
146,RR,Y,Stilts Cat,Totem Cat,Acrobat Cats,,GachaRare,1,Surge10-Wave_Immune1-Freeze_Resist10-Defense10-Attack10,
147,RR,Y,Tin Cat,Plane Cat,Robocat,,GachaRare,1,Dodge10-Knockback_Immune1-Curse_Resist10-Defense10-Attack10,
148,RR,Y,Rocker Cat,Artist Cat,Ramen Cat,,GachaRare,1,Slow_Resist10-Knockback_Resist10-Curse_Resist10-Defense10-Attack10,
149,RR,Y,Mer-Cat,Commando Cat,Cameraman Cat,,GachaRare,1,Survive10-Critical1-Wave_Resist10-Defense10-Attack10,
150,SR,Y,Juliet Cat,Princess Juliet Cat,Juliet the Maiko,,GachaSR,1,Freeze10-Knockback_Resist10-Defense10-Attack10-Move_Speed10,
151,SR,Y,Weightlifter Cat,Ring Girl Cat,Pizza Cat,,GachaSR,1,Slow10-Wave10-Defense10-Attack10-Cost_Down10,
152,SR,Y,Figure Skating Cats,Drama Cats,Slapstick Cats,,GachaSR,1,Weaken10-Knockback_Immune1-Slow_Resist10-Defense10-Attack10,
153,SR,Y,Cat Toaster,Cat Projector,Catophone,,GachaSR,1,Barrier_Breaker10-Target_Alien1-Defense10-Attack10-Cost_Down10,
154,RR,Y,Hoop Cat,Showoff Cat,Hoopmaster Cat,,,0,,
155,UR,N,Chicken Cat,Rooster Cat,,,,0,,
156,RR,N,Dragon League Swordsman,Dragon League Witch,,,,0,,
157,EX,N,Nubobo,Gorubo,,,,0,,
158,UR,Y,Uesugi Kenshin,Wargod Kenshin,Immortal Kenshin,Hellrider Kenshin,UR,1,Target_Relic1-Curse_Immune1-Weaken_Resist10-Defense10-Attack10,
159,UR,Y,Kalisa,"Kalisa, type χ",Divine Kalisa χ,,UR,1,Slow10-Curse_Immune1-Defense10-Attack10-Move_Speed10,
160,SR,Y,Yurinchi,Phoenix Yurinchi,Gekirinchi,,GachaSR,0,,
161,UR,Y,Crazed Princess Punt,Crazed Princess Punt CC,Manic Princess Punt,,UR,1,Critical1-Target_Zombie1-Zombie_Killer1-Defense10-Attack10,
162,EX,N,Sho Ayanokoji,Shoyan & Cat,,,,0,,
163,EX,N,Hikaru Saotome,Hikaru & Cat,,,,0,,
164,EX,N,Hitomi Saionji,Tommy & Cat,,,,0,,
165,EX,N,Hoshi Grandmarnier,Ranma & Cat,,,,0,,
166,EX,N,Shouchikubai Shiratori,Matsu & Cat,,,,0,,
167,RR,N,Yankee Cat,Sukeban Cat,,,,0,,
168,UR,Y,Asiluga,Asilan Pasalan,Assassinlan Pasalan,,UR,1,Slow10-Survive10-Dodge10-Defense10-Cost_Down10,
169,UR,Y,Kubiluga,Kubilan Pasalan,E. Kubilan Pasalan,,UR,1,Slow10-Wave_Immune1-Surge_Resist10-Defense10-Attack10,
170,UR,Y,Tecoluga,Tesalan Pasalan,Lufalan Pasalan,,UR,1,Critical10-Weaken_Immune1-Surge_Resist10-Defense10-Attack10,
171,UR,Y,Balaluga,Balalan Pasalan,Piccolan Pasalan,,UR,1,Survive10-Weaken10-Wave_Resist10-Surge_Resist10-Defense10,
172,EX,Y,Li'l Nyandam,Dark Emperor Catdam,Schoolbus Nyandam,,,0,,
173,SR,Y,Baby Mola,Young Man Mola,Citizen Mola,,GachaSR,0,,
174,UR,Y,Mola King,Living Legend,Master of the Pacific,,UR,1,Dodge10-Mini_Surge10-Attack10,
175,EX,Y,Meowla Meowla,Catorpedo,,,,0,,
176,RR,Y,Marshmallow Cat,Creepmallow,,,,0,,
177,UR,Y,Dioramos,Archdragon Dioramos,God-Emperor Dioramos,Ascendant Dioramos,UR,1,Strengthen10-Freeze_Resist10-Weaken_Resist10-Defense10-Attack10,
178,EX,N,Mob Cat,Yakuza Vampire,,,,0,,
179,RR,Y,Takuya & Yuki,"Takuya, Yuki & Cat",Takuya & Lovely Yuki,,,0,,
180,UR,Y,Mystery Girl Yuki,Mystery Yuki & Cat,Mystery Catgirl Yuki,,UR,1,Knockback10-Toxic_Resist10-Cost_Down10-Defense10-Attack10,
181,EX,Y,Yuki Cat,Lovely Yuki Cat,,,,0,,
182,EX,N,Cuckoo Crew 12,Cuckoo Crew 12+1,,,,0,,
183,RR,Y,Cat Kart R,Cat Kart G,Cat Kart P,,,0,,
184,EX,Y,Mr. Ninja,Mint,,,Plus25,0,,
185,UR,Y,Hearscht,Hearscht CC,Revolutionary Hearscht CC,,UR,1,Freeze10-Knockback_Immune1-Strengthen10-Defense10-Attack10,
186,UR,Y,Cornelia,Cornelia CC,,,UR,0,,
187,UR,Y,Juvens,Juvens CC,Holiday Juvens CC,,UR,0,,
188,UR,Y,Mystica,Mystica CC,Savior Mystica CC,,UR,1,Survive10-Surge_Immune1-Cost_Down10-Defense10-Attack10,
189,SR,Y,Alois,Alois CC,,,GachaSR,0,,
190,SR,Y,Citrouille,Citrouille CC,,,GachaSR,0,,
191,EX,Y,Titi,Titi CC,Titi Cat CC,,,0,,
192,EX,N,Yamaoka Minori,Queen Minori,,,,0,,
193,EX,N,Nakamura Kanae,Queen Kanae,,,,0,,
194,UR,Y,Akira,Shadow Akira,Inferno Akira,,UR,2,Freeze10-Strengthen10-Survive10-Defense10-Attack10,Target_Aku1-Surge10
195,UR,Y,Mekako Saionji,Dr. Mekako,Mission Control Mekako,,UR,2,Weaken10-Knockback10-Survive10-Defense10-Attack10,Target_Angel1-Dodge10
196,UR,Y,Catman,Dark Catman,Ultimate Catman,,UR,1,Dodge10-Warp_Immune1-Freeze_Immune1-Defense10-Attack10,
197,RR,Y,Psychocat,Neo Psychocat,Corrupted Psychocat,,GachaRare,1,Weaken10-Slow10-Freeze_Resist10-Target_Zombie1-Defense10,
198,RR,Y,Onmyoji Cat,Magica Cat,Thaumaturge Cat,,GachaRare,1,Freeze_Resist10-Curse_Resist10-Wave_Immune1-Defense10-Attack10,
199,SR,Y,Surfer Cat,Castaway Cat,Seafarer Cat,,GachaSR,1,Freeze10-Warp_Immune1-Curse_Resist10-Defense10-Attack10,
